"species","family","respiration_rate_gC_per_d","individual_mass_g","temperature_celsius","habitat","reef"
"Abramis brama","Cyprinidae",694,160.75,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",731,81.16,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",743,103.1,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",743,135.5,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",769,145.09,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",813,69.6,293.15,"Freshwater","no"
"Abramis brama","Cyprinidae",913,61.75,293.15,"Freshwater","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",30,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",41,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",43,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",50,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",65,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",75,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",118,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",165,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",170,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",173,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",175,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",180,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",182,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",188,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",310,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",323,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",343,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",345,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",370,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",395,254,298.15,"Marine","no"
"Acanthopagrus schlegelii schlegelii","Sparidae",413,254,298.15,"Marine","no"
"Acipenser gueldenstaedtii","Acipenseridae",70,208,291.15,"Marine","no"
"Acipenser gueldenstaedtii","Acipenseridae",176,54.3,294.15,"Marine","no"
"Acipenser gueldenstaedtii","Acipenseridae",272,12.5,291.15,"Marine","no"
"Acipenser gueldenstaedtii","Acipenseridae",359,0.3,291.15,"Marine","no"
"Acipenser gueldenstaedtii","Acipenseridae",526,12.5,298.15,"Marine","no"
"Acipenser gueldenstaedtii","Acipenseridae",589,0.47,293.15,"Marine","no"
"Acipenser gueldenstaedtii","Acipenseridae",605,0.3,298.15,"Marine","no"
"Acipenser gueldenstaedtii","Acipenseridae",1286,0.02,293.15,"Marine","no"
"Acipenser nudiventris","Acipenseridae",136,89,292.15,"Marine","no"
"Acipenser ruthenus","Acipenseridae",35,258,293.15,"Freshwater","no"
"Acipenser ruthenus","Acipenseridae",70,287,283.15,"Freshwater","no"
"Acipenser ruthenus","Acipenseridae",82,304,279.65,"Freshwater","no"
"Acipenser ruthenus","Acipenseridae",152,205,293.85,"Freshwater","no"
"Acipenser stellatus","Acipenseridae",68,6500,293.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",105,10400,295.65,"Marine","no"
"Acipenser stellatus","Acipenseridae",148,7520,295.55,"Marine","no"
"Acipenser stellatus","Acipenseridae",171,6050,294.95,"Marine","no"
"Acipenser stellatus","Acipenseridae",244,3700,297.55,"Marine","no"
"Acipenser stellatus","Acipenseridae",320,1.75,290.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",452,6.12,291.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",522,0.23,291.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",531,3.62,293.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",536,0.8,294.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",548,0.65,290.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",643,0.43,293.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",705,10.42,295.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",727,6.12,298.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",847,0.23,298.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",1000,0.03,294.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",1035,0.09,295.25,"Marine","no"
"Acipenser stellatus","Acipenseridae",1037,0.05,294.25,"Marine","no"
"Acipenser stellatus","Acipenseridae",1040,0.16,293.65,"Marine","no"
"Acipenser stellatus","Acipenseridae",1047,0.06,294.85,"Marine","no"
"Acipenser stellatus","Acipenseridae",1110,3.74,296.15,"Marine","no"
"Acipenser stellatus","Acipenseridae",1286,0.02,293.15,"Marine","no"
"Alburnus alburnus","Cyprinidae",80,9,281.15,"Freshwater","no"
"Alburnus alburnus","Cyprinidae",159,11,286.15,"Freshwater","no"
"Alburnus alburnus","Cyprinidae",192,13,290.15,"Freshwater","no"
"Alburnus alburnus","Cyprinidae",282,2.02,291.15,"Freshwater","no"
"Ambassis interrupta","Ambassidae",81,5,298.15,"Marine","no"
"Ambassis interrupta","Ambassidae",89,5,298.15,"Marine","no"
"Ambassis interrupta","Ambassidae",92,5,298.15,"Marine","no"
"Ambassis interrupta","Ambassidae",103,5,298.15,"Marine","no"
"Ambassis interrupta","Ambassidae",113,5,298.15,"Marine","no"
"Ambassis interrupta","Ambassidae",120,1.2,298.15,"Marine","no"
"Ambassis interrupta","Ambassidae",130,1.2,298.15,"Marine","no"
"Ambassis interrupta","Ambassidae",154,1.2,298.15,"Marine","no"
"Ambassis interrupta","Ambassidae",175,1.2,298.15,"Marine","no"
"Ambassis interrupta","Ambassidae",243,1.2,298.15,"Marine","no"
"Ameiurus melas","Ictaluridae",73,50,290.15,"Freshwater","no"
"Ameiurus natalis","Ictaluridae",51,20,288.15,"Freshwater","no"
"Ameiurus natalis","Ictaluridae",92,23,298.15,"Freshwater","no"
"Ameiurus natalis","Ictaluridae",100,2,285.15,"Freshwater","no"
"Ameiurus natalis","Ictaluridae",143,4,290.15,"Freshwater","no"
"Ameiurus natalis","Ictaluridae",210,5,300.15,"Freshwater","no"
"Ameiurus natalis","Ictaluridae",214,5,295.15,"Freshwater","no"
"Ameiurus nebulosus","Ictaluridae",72,181,293.15,"Freshwater","no"
"Ameiurus nebulosus","Ictaluridae",83,24.4,298.15,"Freshwater","no"
"Ameiurus nebulosus","Ictaluridae",88,54.4,298.15,"Freshwater","no"
"Ameiurus nebulosus","Ictaluridae",120,74,298.15,"Freshwater","no"
"Ameiurus nebulosus","Ictaluridae",136,25.5,303.15,"Freshwater","no"
"Ameiurus nebulosus","Ictaluridae",143,75,298.15,"Freshwater","no"
"Ameiurus nebulosus","Ictaluridae",690,57,308.15,"Freshwater","no"
"Ameiurus nebulosus","Ictaluridae",1260,23,308.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",5,27.62,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",6,43.67,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",8,30.05,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",9,29.2,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",9,27.62,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",9,60,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",10,22.51,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",10,23.24,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",13,40.02,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",13,23,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",14,32.97,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",16,32.48,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",16,32,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",18,12.54,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",18,33.21,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",19,28.59,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",20,13.51,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",21,19.59,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",21,32.24,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",21,24.58,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",22,10.35,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",22,22.02,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",22,33.2,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",22,34.67,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",23,13.02,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",24,26.64,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",24,39.05,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",24,34.18,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",25,28.1,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",25,41.48,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",27,42.45,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",28,28.95,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",29,35.77,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",29,27.62,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",30,35.16,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",30,34.18,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",30,32,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",30,31.27,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",30,16.18,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",31,36.13,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",31,28.1,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",33,34.91,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",33,11.44,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",34,26.16,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",35,28.59,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",40,14.24,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",40,13.27,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",42,14.48,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",43,14.24,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",49,25.43,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",50,17.5,302.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",61,12.78,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",65,12.66,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",67,16.18,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",69,12.54,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",70,14.97,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",71,21.54,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",71,9.81,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",73,21.05,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",80,15.45,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",93,11.32,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",93,19.1,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",96,9.81,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",107,12.54,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",107,11.81,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",110,9.86,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",111,11.12,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",119,8.5,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",122,12.29,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",136,16.18,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1140,0.02,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1207,0.01,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1247,0.03,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1277,0.01,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1278,0.01,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1279,0.01,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1280,0.01,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1281,0.02,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1284,0.02,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1325,0.04,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1399,0.01,301.15,"Freshwater","no"
"Anabas testudineus","Anabantidae",1445,0.03,301.15,"Freshwater","no"
"Andinoacara pulcher","Cichlidae",122,5,298.15,"Freshwater","no"
"Anguilla anguilla","Anguillidae",20,795,291.15,"Marine","no"
"Anguilla anguilla","Anguillidae",21,67,286.15,"Marine","no"
"Anguilla anguilla","Anguillidae",31,75,294.15,"Marine","no"
"Anguilla anguilla","Anguillidae",35,181.5,287.15,"Marine","no"
"Anguilla anguilla","Anguillidae",35,195.5,285.15,"Marine","no"
"Anguilla anguilla","Anguillidae",47,75,295.15,"Marine","no"
"Anguilla anguilla","Anguillidae",50,75,300.15,"Marine","no"
"Anguilla anguilla","Anguillidae",58,51.2,287.15,"Marine","no"
"Anguilla anguilla","Anguillidae",60,75,298.15,"Marine","no"
"Anguilla anguilla","Anguillidae",63,1191,290.15,"Marine","no"
"Anguilla anguilla","Anguillidae",69,112.5,288.65,"Marine","no"
"Anguilla anguilla","Anguillidae",69,40,286.15,"Marine","no"
"Anguilla anguilla","Anguillidae",80,150,293.15,"Marine","no"
"Anguilla anguilla","Anguillidae",80,75,303.15,"Marine","no"
"Anguilla anguilla","Anguillidae",86,230,293.15,"Marine","no"
"Anguilla anguilla","Anguillidae",90,223,293.15,"Marine","no"
"Anguilla anguilla","Anguillidae",93,120,293.15,"Marine","no"
"Anguilla anguilla","Anguillidae",94,37.6,286.15,"Marine","no"
"Anguilla anguilla","Anguillidae",99,485,290.15,"Marine","no"
"Anguilla anguilla","Anguillidae",99,430,290.15,"Marine","no"
"Anguilla anguilla","Anguillidae",114,20,291.65,"Marine","no"
"Anguilla anguilla","Anguillidae",117,90,290.15,"Marine","no"
"Anguilla anguilla","Anguillidae",124,21,291.65,"Marine","no"
"Anguilla anguilla","Anguillidae",126,40,290.15,"Marine","no"
"Anguilla anguilla","Anguillidae",130,21,291.65,"Marine","no"
"Anguilla anguilla","Anguillidae",130,54,290.15,"Marine","no"
"Anguilla anguilla","Anguillidae",139,33,290.15,"Marine","no"
"Anguilla anguilla","Anguillidae",230,0.23,290.15,"Marine","no"
"Anguilla australis australis","Anguillidae",29,646.5,290.65,"Marine","no"
"Anguilla japonica","Anguillidae",89,100,298.15,"Marine","no"
"Anguilla rostrata","Anguillidae",80,4.82,288.15,"Marine","no"
"Anguilla rostrata","Anguillidae",120,6.2,288.15,"Marine","no"
"Anguilla rostrata","Anguillidae",140,5.41,293.15,"Marine","no"
"Anguilla rostrata","Anguillidae",170,0.77,288.15,"Marine","no"
"Anguilla rostrata","Anguillidae",210,6.77,293.15,"Marine","no"
"Anguilla rostrata","Anguillidae",320,4.6,298.15,"Marine","no"
"Anguilla rostrata","Anguillidae",350,5.08,298.15,"Marine","no"
"Anguilla rostrata","Anguillidae",520,0.96,293.15,"Marine","no"
"Anguilla rostrata","Anguillidae",930,0.82,298.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",2,36.7,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",4,36.7,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",12,36.7,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",18,42.5,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",18,36.7,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",19,33.5,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",19,36.7,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",19,36.7,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",19,31.2,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",19,45.2,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",20,43.8,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",21,36.7,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",21,36.7,278.15,"Marine","no"
"Anoplogaster cornuta","Anoplogastridae",34,50.9,278.15,"Marine","no"
"Aphanius dispar dispar","Cyprinodontidae",334,0.56,290.15,"Marine","no"
"Aphanius dispar dispar","Cyprinodontidae",460,0.43,293.15,"Marine","no"
"Aphanius dispar dispar","Cyprinodontidae",461,0.6,293.15,"Marine","no"
"Aphanius dispar dispar","Cyprinodontidae",571,0.49,293.15,"Marine","no"
"Aphanius dispar dispar","Cyprinodontidae",587,0.79,297.65,"Marine","no"
"Aristostomias lunifer","Stomiidae",14,21.1,278.15,"Marine","no"
"Bajacalifornia burragei","Alepocephalidae",7,24.9,278.15,"Marine","no"
"Bathylagoides wesethi","Bathylagidae",136,1.5,283.15,"Marine","no"
"Bathylagus antarcticus","Bathylagidae",26,27.15,273.45,"Marine","no"
"Benthalbella elongata","Scopelarchidae",53,35.3,273.45,"Marine","no"
"Boreogadus saida","Gadidae",34,13.45,273.15,"Marine","no"
"Boreogadus saida","Gadidae",50,6.53,273.35,"Marine","no"
"Boreogadus saida","Gadidae",51,14.4,273.15,"Marine","no"
"Boreogadus saida","Gadidae",68,20.2,273.75,"Marine","no"
"Boreogadus saida","Gadidae",75,8.09,274.55,"Marine","no"
"Boreogadus saida","Gadidae",89,7.31,273.25,"Marine","no"
"Borostomias panamensis","Stomiidae",24,110.25,278.15,"Marine","no"
"Borostomias panamensis","Stomiidae",47,97.45,283.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",102,78.4,283.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",118,22.5,283.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",120,27,282.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",140,27,282.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",175,79.3,288.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",177,6.2,283.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",198,21.7,288.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",220,27,290.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",230,74.3,293.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",280,27,290.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",284,22.2,293.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",290,27,298.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",294,6.17,288.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",304,80.9,298.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",343,24.6,298.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",380,27,298.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",471,5.44,293.15,"Marine","no"
"Brevoortia tyrannus","Clupeidae",476,6.98,298.15,"Marine","no"
"Callionymus lyra","Callionymidae",56,86,284.15,"Marine","no"
"Callionymus lyra","Callionymidae",56,49,284.15,"Marine","no"
"Callionymus lyra","Callionymidae",100,150,284.65,"Marine","no"
"Callionymus lyra","Callionymidae",300,15.5,291.65,"Marine","no"
"Callionymus lyra","Callionymidae",329,13.3,291.65,"Marine","no"
"Campostoma anomalum","Cyprinidae",187,19.25,291.05,"Freshwater","no"
"Caranx hippos","Carangidae",225,38.3,287.85,"Marine","yes"
"Carassius auratus","Cyprinidae",11,3.8,278.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",33,3.8,283.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",39,9.3,281.05,"Freshwater","no"
"Carassius auratus","Cyprinidae",43,111.2,285.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",43,55,283.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",49,9.3,281.05,"Freshwater","no"
"Carassius auratus","Cyprinidae",51,82.5,291.65,"Freshwater","no"
"Carassius auratus","Cyprinidae",56,130,291.65,"Freshwater","no"
"Carassius auratus","Cyprinidae",57,6,278.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",57,100,282.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",59,39.5,291.65,"Freshwater","no"
"Carassius auratus","Cyprinidae",65,36.4,285.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",68,3.8,288.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",89,9.3,287.55,"Freshwater","no"
"Carassius auratus","Cyprinidae",89,9.3,288.05,"Freshwater","no"
"Carassius auratus","Cyprinidae",98,5.94,289.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",98,9.3,288.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",103,3.8,298.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",106,97.9,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",113,3.8,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",114,51,294.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",114,97.9,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",120,15.5,303.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",122,3.8,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",123,9.3,292.25,"Freshwater","no"
"Carassius auratus","Cyprinidae",125,9.3,292.35,"Freshwater","no"
"Carassius auratus","Cyprinidae",136,9.3,291.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",139,9.3,291.25,"Freshwater","no"
"Carassius auratus","Cyprinidae",144,21,292.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",148,9.3,293.25,"Freshwater","no"
"Carassius auratus","Cyprinidae",157,97.9,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",157,9.3,293.25,"Freshwater","no"
"Carassius auratus","Cyprinidae",162,29,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",163,4.95,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",164,3.9,289.75,"Freshwater","no"
"Carassius auratus","Cyprinidae",165,97.9,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",167,32.5,288.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",181,97.9,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",186,6,288.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",187,55,303.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",190,29,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",194,5,298.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",213,1.57,292.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",216,2.45,292.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",244,9.3,298.85,"Freshwater","no"
"Carassius auratus","Cyprinidae",265,3.9,293.95,"Freshwater","no"
"Carassius auratus","Cyprinidae",279,9.5,293.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",285,3.8,308.15,"Freshwater","no"
"Carassius auratus","Cyprinidae",326,19.1,295.65,"Freshwater","no"
"Carassius auratus","Cyprinidae",342,50,295.65,"Freshwater","no"
"Carassius auratus","Cyprinidae",347,19.1,295.65,"Freshwater","no"
"Carassius auratus","Cyprinidae",357,6,303.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",10,12.5,278.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",33,12.5,283.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",68,12.5,288.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",79,12.5,288.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",81,12.5,288.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",107,12,288.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",133,5,291.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",133,5.2,291.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",149,60,292.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",149,60,292.65,"Freshwater","no"
"Carassius carassius","Cyprinidae",155,16.1,288.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",162,12.5,293.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",162,4.45,289.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",170,8.7,289.65,"Freshwater","no"
"Carassius carassius","Cyprinidae",190,4.45,289.15,"Freshwater","no"
"Carassius carassius","Cyprinidae",236,12.5,298.15,"Freshwater","no"
"Catostomus commersonii","Catostomidae",82,17,288.15,"Freshwater","no"
"Catostomus commersonii","Catostomidae",90,215,293.15,"Freshwater","no"
"Catostomus tahoensis","Catostomidae",62,43.73,281.15,"Freshwater","no"
